"Origin","Reside","Age","Gender","BldGrp","InRel","BldGrp_Prtnr","help_Ppl","Enyj_Grp","Chs_Wrds_Care","Take_Chrg","Get_Nervs_Talkng","Like_Ordr","Get_Upset","Modest_Achieve","Adventure","Enjy_attentn","Variety_Routine","Feel_Emo","Hard_Trust_Ppl","Avoid_Arguing","Avoid_alone","Detail_Orntd","Focus_on_present","Go_With_Flow","Talk_abt_Own_Feelngs","Fun_Party_Aftr_Wrk","Rarely_Insecure","AgeGroup"
"Côte d'Ivoire","Canada",26,"Female","O-","No","N/A","Strongly Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly disagree","Agree","Agree","Neutral","Strongly disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","20 - 29"
"India","Canada",33,"Female","B+","Yes","O+","Strongly Agree","Agree","Agree","Agree","Strongly disagree","Neutral","Disagree","Agree","Strongly Agree","Disagree","Strongly agree","Strongly agree","Neutral","Disagree","Disagree","Agree","Disagree","Disagree","Neutral","Neutral","Agree","30 - 39"
"India","Canada",33,"Male","O+","Yes","B+","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Disagree","Agree","Agree","Neutral","Agree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","30 - 39"
"India","Canada",34,"Male","A+","Yes","AB+","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Strongly agree","Neutral","Neutral","Disagree","Strongly agree","Strongly agree","Agree","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Agree","30 - 39"
"India","Canada",32,"Prefer not to say","A+","Yes","B+","Agree","Agree","Agree","Agree","Disagree","Neutral","Disagree","Agree","Neutral","Neutral","Agree","Strongly agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","30 - 39"
"Côte d'Ivoire","Canada",20,"Female","O+","No","N/A","Strongly Agree","Neutral","Strongly Agree","Agree","Strongly agree","Agree","Neutral","Strongly agree","Strongly disagree","Neutral","Strongly agree","Neutral","Agree","Strongly disagree","Neutral","Agree","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","20 - 29"
"India","India",31,"Male","B+","Yes","A+","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly agree","Agree","Neutral","Strongly disagree","Strongly agree","Disagree","Agree","Strongly disagree","Agree","Agree","Disagree","Agree","Agree","Agree","30 - 39"
"India","UK",33,"Male","O+","Yes","A+","Strongly Agree","Neutral","Disagree","Agree","Strongly disagree","Agree","Disagree","Strongly agree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Neutral","Neutral","Agree","Strongly disagree","Disagree","Strongly disagree","30 - 39"
"India","Canada",30,"Female","A+","Yes","A+","Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Neutral","Strongly agree","Agree","Agree","Neutral","Strongly agree","Strongly agree","Agree","Neutral","Agree","Agree","30 - 39"
"Côte d'Ivoire","Kenya",21,"Female","O+","No","N/A","Strongly disagree","Agree","Agree","Agree","Strongly agree","Agree","Disagree","Agree","Neutral","Disagree","Neutral","Strongly agree","Neutral","Disagree","Neutral","Agree","Disagree","Disagree","Agree","Strongly disagree","Neutral","20 - 29"
"India","India",26,"Female","AB+","Yes","O+","Agree","Strongly Agree","Disagree","Agree","Disagree","Strongly disagree","Strongly Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Agree","Agree","Disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Strongly agree","20 - 29"
"India","Canada",30,"Male","B+","Yes","B+","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Neutral","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","30 - 39"
"Côte d'Ivoire","Singapore",20,"Female","A+","Yes","I don't know","Strongly disagree","Agree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Disagree","Neutral","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Agree","Agree","Strongly disagree","Agree","20 - 29"
"India","India",42,"Male","B+","Yes","B+","Agree","Agree","Agree","Disagree","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","40 - 49"
"India","India",42,"Male","B+","Yes","B+","Agree","Agree","Agree","Disagree","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","40 - 49"
"India","India",33,"Female","B+","Yes","B+","Strongly Agree","Strongly Agree","Agree","Neutral","Disagree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","30 - 39"
"Côte d'Ivoire","Kenya",52,"Male","A+","Yes","O+","Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Disagree","Strongly disagree","Agree","Agree","Neutral","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","50 - 59"
